Layer,File,HTTP Method,Full Path,Function Name,Path Parameters (Input),Query Parameters (Input),Request Body Model (Input),Response Model (Output),Tags,Description
L2 (Product APIs),founder_explorer.py,GET,/explorer/info,get_explorer_info,,,,,explorer,Get information about the explorer endpoints.
L2 (Product APIs),founder_explorer.py,GET,/explorer/patterns,get_usage_patterns,,,,PatternsResponse,explorer,Get usage pattern analysis.
L2 (Product APIs),founder_explorer.py,GET,/explorer/summary,get_system_summary,,,,SystemSummary,explorer,Get cross-tenant system summary.
L2 (Product APIs),founder_explorer.py,GET,/explorer/system/health,get_system_health,,,,SystemHealthResponse,explorer,Get overall system health indicators.
L2 (Product APIs),founder_explorer.py,GET,/explorer/tenant/{tenant_id}/diagnostics,get_tenant_diagnostics,tenant_id,tenant_id,,TenantDiagnostics,explorer,Get deep diagnostics for a specific tenant.
L2 (Product APIs),founder_explorer.py,GET,/explorer/tenants,list_tenants,,limit,,List[TenantSummary],explorer,List all tenants with summary metrics.
L2 (Product APIs),founder_contract_review.py,GET,/founder/contracts/review-queue,get_review_queue,,,FounderReviewAdapter,None,founder-review,Get the Founder Review Queue.
L2 (Product APIs),founder_contract_review.py,GET,/founder/contracts/{contract_id},get_contract_detail,contract_id,,FounderReviewAdapter,None,founder-review,Get contract details for review.
L2 (Product APIs),founder_contract_review.py,POST,/founder/contracts/{contract_id}/review,submit_review,contract_id,,FounderReviewAdapter,None,founder-review,Submit a review decision for a contract.
L2,founder_lifecycle.py,POST,/founder/lifecycle/archive,archive_tenant,,,,LifecycleTransitionResponse,"founder, lifecycle",Archive a terminated tenant.
L2,founder_lifecycle.py,POST,/founder/lifecycle/resume,resume_tenant,,,,LifecycleTransitionResponse,"founder, lifecycle",Resume a suspended tenant.
L2,founder_lifecycle.py,POST,/founder/lifecycle/suspend,suspend_tenant,,,,LifecycleTransitionResponse,"founder, lifecycle",Suspend a tenant.
L2,founder_lifecycle.py,POST,/founder/lifecycle/terminate,terminate_tenant,,,,LifecycleTransitionResponse,"founder, lifecycle",Terminate a tenant.
L2,founder_lifecycle.py,GET,/founder/lifecycle/{tenant_id},get_lifecycle_state,tenant_id,tenant_id,,LifecycleStateResponse,"founder, lifecycle",Get lifecycle state for a tenant.
L2,founder_lifecycle.py,GET,/founder/lifecycle/{tenant_id}/history,get_lifecycle_history,tenant_id,tenant_id,,LifecycleHistoryResponse,"founder, lifecycle",Get lifecycle transition history for a tenant.
L2 (Product APIs),founder_onboarding.py,POST,/founder/onboarding/force-complete,force_complete_onboarding,,,,ForceCompleteResponse,Founder Onboarding,Force-complete onboarding for a tenant.
L2 (Product APIs),founder_onboarding.py,GET,/founder/onboarding/stalled,get_stalled_tenants,,,,,Founder Onboarding,Get list of stalled onboarding tenants.
L2 (Product APIs),founder_review.py,GET,/founder/review/auto-execute,list_auto_execute_decisions,,tenant_id,Optional[bool],AutoExecuteReviewListDTO,founder-review,List AUTO_EXECUTE decisions with filtering and pagination.
L2 (Product APIs),founder_review.py,GET,/founder/review/auto-execute/stats,get_auto_execute_stats,,tenant_id,,AutoExecuteReviewStatsDTO,founder-review,Get aggregate statistics for AUTO_EXECUTE decisions.
L2 (Product APIs),founder_review.py,GET,/founder/review/auto-execute/{invocation_id},get_auto_execute_decision,invocation_id,,,AutoExecuteReviewItemDTO,founder-review,Get detailed evidence for a single AUTO_EXECUTE decision.
L2,founder_timeline.py,GET,/founder/timeline/count,count_decision_records,,tenant_id,Optional[str],,founder-timeline,Count decision records.
L2,founder_timeline.py,GET,/founder/timeline/decisions,list_decision_records,,"limit, offset, tenant_id",Optional[str],List[DecisionRecordView],founder-timeline,List all decision records.
L2,founder_timeline.py,GET,/founder/timeline/decisions/{decision_id},get_decision_record,decision_id,,,DecisionRecordView,founder-timeline,Get a single decision record by ID.
L2,founder_timeline.py,GET,/founder/timeline/run/{run_id},get_run_timeline,run_id,,,RunTimeline,founder-timeline,Get complete timeline for a run.
L2,cost_guard.py,GET,/guard/costs/explained,get_cost_explained,,tenant_id,"Literal['today', '7d', '30d']",CustomerCostExplainedDTO,Guard Cost Visibility,GET /guard/costs/explained
L2,cost_guard.py,GET,/guard/costs/incidents,get_cost_incidents,,"tenant_id, limit",,CustomerCostIncidentListDTO,Guard Cost Visibility,GET /guard/costs/incidents
L2,cost_guard.py,GET,/guard/costs/summary,get_cost_summary,,tenant_id,,CustomerCostSummaryDTO,Guard Cost Visibility,GET /guard/costs/summary
L2a (Console-scoped),guard.py,GET,/guard/incidents,list_incidents,,"tenant_id, limit, offset",,,Guard Console,List incidents - 'What did you stop for me?'
L2a (Console-scoped),guard.py,POST,/guard/incidents/search,search_incidents,,tenant_id,,IncidentSearchResponse,Guard Console,Search incidents with filters - M23 component map spec.
L2a (Console-scoped),guard.py,GET,/guard/incidents/{incident_id},get_incident_detail,incident_id,tenant_id,,IncidentDetailResponse,Guard Console,Get incident detail with timeline.
L2a (Console-scoped),guard.py,POST,/guard/incidents/{incident_id}/acknowledge,acknowledge_incident,incident_id,tenant_id,,,Guard Console,Acknowledge an incident.
L2a (Console-scoped),guard.py,POST,/guard/incidents/{incident_id}/export,export_incident_evidence,incident_id,tenant_id,,,Guard Console,Export incident as a legal-grade PDF evidence report.
L2a (Console-scoped),guard.py,GET,/guard/incidents/{incident_id}/narrative,get_customer_incident_narrative,incident_id,,,CustomerIncidentNarrativeDTO,Guard Console,GET /guard/incidents/{id}/narrative
L2a (Console-scoped),guard.py,POST,/guard/incidents/{incident_id}/resolve,resolve_incident,incident_id,tenant_id,,,Guard Console,Resolve an incident.
L2a (Console-scoped),guard.py,GET,/guard/incidents/{incident_id}/timeline,get_decision_timeline,incident_id,,,DecisionTimelineResponse,Guard Console,Get decision timeline - M23 component map spec.
L2a (Console-scoped),guard.py,GET,/guard/keys,list_api_keys,,tenant_id,,,Guard Console,List API keys with status.
L2a (Console-scoped),guard.py,POST,/guard/keys/{key_id}/freeze,freeze_api_key,key_id,tenant_id,,,Guard Console,Freeze an API key.
L2a (Console-scoped),guard.py,POST,/guard/keys/{key_id}/unfreeze,unfreeze_api_key,key_id,tenant_id,,,Guard Console,Unfreeze an API key.
L2a (Console-scoped),guard.py,POST,/guard/killswitch/activate,activate_killswitch,,tenant_id,,,Guard Console,Stop all traffic - Emergency kill switch.
L2a (Console-scoped),guard.py,POST,/guard/killswitch/deactivate,deactivate_killswitch,,tenant_id,,,Guard Console,Resume traffic - Deactivate kill switch.
L2a (Console-scoped),guard_logs.py,GET,/guard/logs/export,export_logs,,"tenant_id, limit",Optional[str],,Guard Console - Logs,Export logs for customer.
L2a (Console-scoped),guard_logs.py,GET,/guard/logs/{log_id},get_log,log_id,tenant_id,,CustomerLogDetail,Guard Console - Logs,Get log detail with execution steps.
L2a (Console-scoped),guard.py,POST,/guard/onboarding/verify,onboarding_verify,,tenant_id,,OnboardingVerifyResponse,Guard Console,REAL safety verification for onboarding.
L2a (Console-scoped),guard_policies.py,GET,/guard/policies/guardrails/{guardrail_id},get_guardrail_detail,guardrail_id,tenant_id,,CustomerGuardrail,Guard Console - Policies,Get guardrail detail.
L2a (Console-scoped),guard.py,POST,/guard/replay/{call_id},replay_call,call_id,level,,ReplayResult,Guard Console,Replay a call - Trust builder.
L2a (Console-scoped),guard.py,GET,/guard/settings,get_settings,,tenant_id,,TenantSettings,Guard Console,Get read-only settings.
L2a (Console-scoped),guard.py,GET,/guard/snapshot/today,get_today_snapshot,,tenant_id,,TodaySnapshot,Guard Console,Get today's metrics - 'What did it cost/save me?'
L2a (Console-scoped),guard.py,GET,/guard/status,get_guard_status,,tenant_id,,GuardStatus,Guard Console,Get protection status - 'Am I safe right now?'
L2,health.py,GET,/health,health_check,,,,,health,Basic health check endpoint.
L2 (Product APIs),main.py,GET,/health,health_check,,,,,,Health check with DB validation.
L2,health.py,GET,/health/adapters,adapter_status,,,,,health,LLM adapter availability status.
L2,health.py,GET,/health/determinism,determinism_status,,,,,health,Determinism status endpoint.
L2,health.py,GET,/health/ready,readiness_check,,,,,health,Kubernetes readiness probe.
L2,health.py,GET,/health/skills,skills_status,,,,,health,Skill registry status.
L2 (Product APIs),main.py,GET,/healthz,healthz,,,,,,Kubernetes-style health check.
L2 (Product APIs),main.py,GET,/healthz/worker_pool,worker_pool_health,,,,,,Worker pool health probe endpoint.
L2 (Product APIs),incidents.py,GET,/incidents/by-run/{run_id},get_incidents_for_run,run_id,,,,Incidents,Get all incidents linked to a specific run.
L2 (Product APIs),incidents.py,GET,/incidents/metrics,get_incidents_metrics,,,,IncidentsMetricsResponse,Incidents,Get summary metrics for incidents dashboard.
L2 (Product APIs),incidents.py,GET,/incidents/summary,get_incidents_summary,,,,IncidentsSummaryResponse,Incidents,Incidents summary for HIL v1 interpretation panel.
L2 (Product APIs),incidents.py,POST,/incidents/trigger,trigger_incident_for_run,,,,TriggerIncidentResponse,Incidents,[DEPRECATED] Trigger incident creation for a failed run.
L2 (Product APIs),incidents.py,GET,/incidents/{incident_id},get_incident_detail,incident_id,,,IncidentSummary,Incidents,Get details of a specific incident.
L2 (Product APIs),integration.py,GET,/integration/checkpoints,list_pending_checkpoints,,tenant_id,,list[CheckpointResponse],integration,List all pending human checkpoints for the tenant.
L2 (Product APIs),integration.py,GET,/integration/checkpoints/{checkpoint_id},get_checkpoint,checkpoint_id,tenant_id,,CheckpointResponse,integration,Get details of a specific checkpoint.
L2 (Product APIs),integration.py,POST,/integration/checkpoints/{checkpoint_id}/resolve,resolve_checkpoint,checkpoint_id,tenant_id,,,integration,Resolve a pending checkpoint.
L2 (Product APIs),integration.py,GET,/integration/graduation,get_graduation_status,,tenant_id,,HardenedGraduationResponse,integration,Get M25 graduation status (HARDENED).
L2 (Product APIs),integration.py,POST,/integration/graduation/re-evaluate,trigger_graduation_re_evaluation,,tenant_id,,,integration,Trigger a re-evaluation of graduation status.
L2 (Product APIs),integration.py,POST,/integration/graduation/record-view,record_timeline_view,,tenant_id,,,integration,Record a REAL timeline view for Gate 3 graduation.
L2 (Product APIs),integration.py,POST,/integration/graduation/simulate/prevention,simulate_prevention,,tenant_id,,,integration,Simulate a prevention event for demo/testing purposes.
L2 (Product APIs),integration.py,POST,/integration/graduation/simulate/regret,simulate_regret,,tenant_id,,,integration,Simulate a regret event for demo/testing purposes.
L2 (Product APIs),integration.py,POST,/integration/graduation/simulate/timeline-view,simulate_timeline_view,,tenant_id,,,integration,Simulate viewing a prevention timeline for Gate 3.
L2 (Product APIs),integration.py,GET,/integration/loop/{incident_id},get_loop_status,incident_id,tenant_id,,LoopStatusResponse,integration,Get current loop status for an incident.
L2 (Product APIs),integration.py,GET,/integration/loop/{incident_id}/narrative,get_loop_narrative,incident_id,tenant_id,,,integration,Get narrative artifacts for an incident loop.
L2 (Product APIs),integration.py,POST,/integration/loop/{incident_id}/retry,retry_loop_stage,incident_id,tenant_id,,LoopStatusResponse,integration,Retry a failed loop stage.
L2 (Product APIs),integration.py,POST,/integration/loop/{incident_id}/revert,revert_loop,incident_id,tenant_id,,,integration,Revert all changes made by a loop.
L2 (Product APIs),integration.py,GET,/integration/loop/{incident_id}/stages,get_loop_stages,incident_id,tenant_id,,list[StageDetail],integration,Get detailed stage information for a loop.
L2 (Product APIs),integration.py,GET,/integration/loop/{incident_id}/stream,stream_loop_status,incident_id,tenant_id,,,integration,SSE endpoint for live loop status updates.
L2 (Product APIs),integration.py,GET,/integration/stats,get_integration_stats,,tenant_id,,IntegrationStatsResponse,integration,Get integration loop statistics for the specified period.
L2 (Product APIs),integration.py,GET,/integration/timeline/{incident_id},get_prevention_timeline,incident_id,tenant_id,,PreventionTimelineResponse,integration,Get the prevention timeline for an incident.
L2 (Product APIs),authz_status.py,GET,/internal/authz/alert-rules,get_alert_rules_endpoint,,,,,Internal - Authorization,Get Prometheus alert rules for authorization monitoring.
L2 (Product APIs),authz_status.py,GET,/internal/authz/mappings,get_authz_mappings,,,,,Internal - Authorization,Get all M7→M28 mappings for inspection.
L2 (Product APIs),authz_status.py,GET,/internal/authz/metrics-info,get_metrics_info,,,,,Internal - Authorization,Get metrics information for authorization monitoring.
L2 (Product APIs),authz_status.py,GET,/internal/authz/phase-info,get_phase_info,,,,,Internal - Authorization,Get detailed information about authorization phases.
L2 (Product APIs),authz_status.py,GET,/internal/authz/status,get_authz_status,,,,,Internal - Authorization,Get current authorization system status.
L2 (Product APIs),main.py,GET,/metrics,metrics,,,,,,Prometheus metrics endpoint (multiprocess-aware).
L2 (Product APIs),main.py,GET,/openapi-download,download_openapi,,,,,,Download OpenAPI spec as JSON file.
L2,legacy_routes.py,DELETE,/operator,legacy_operator,,,,,Legacy (Deprecated),410 Gone - Operator console merged into /ops/*.
L2,legacy_routes.py,GET,/operator,legacy_operator,,,,,Legacy (Deprecated),410 Gone - Operator console merged into /ops/*.
L2,legacy_routes.py,POST,/operator,legacy_operator,,,,,Legacy (Deprecated),410 Gone - Operator console merged into /ops/*.
L2,legacy_routes.py,PUT,/operator,legacy_operator,,,,,Legacy (Deprecated),410 Gone - Operator console merged into /ops/*.
L2,legacy_routes.py,DELETE,/operator/{path:path},legacy_operator,path:path,,,,Legacy (Deprecated),410 Gone - Operator console merged into /ops/*.
L2,legacy_routes.py,GET,/operator/{path:path},legacy_operator,path:path,,,,Legacy (Deprecated),410 Gone - Operator console merged into /ops/*.
L2,legacy_routes.py,POST,/operator/{path:path},legacy_operator,path:path,,,,Legacy (Deprecated),410 Gone - Operator console merged into /ops/*.
L2,legacy_routes.py,PUT,/operator/{path:path},legacy_operator,path:path,,,,Legacy (Deprecated),410 Gone - Operator console merged into /ops/*.
L2,founder_actions.py,GET,/ops/actions/audit,get_audit_trail,,,Optional[str],FounderActionListDTO,founder-actions,Get founder action audit trail.
L2,founder_actions.py,GET,/ops/actions/audit/{action_id},get_audit_record,action_id,,,FounderAuditRecordDTO,founder-actions,Get single audit record.
L2,founder_actions.py,POST,/ops/actions/freeze-api-key,freeze_api_key,,,,FounderActionResponseDTO,founder-actions,Freeze API key - immediately revoke.
L2,founder_actions.py,POST,/ops/actions/freeze-tenant,freeze_tenant,,,,FounderActionResponseDTO,founder-actions,Freeze tenant - immediately block all API calls.
L2,founder_actions.py,POST,/ops/actions/override-incident,override_incident,,,,FounderActionResponseDTO,founder-actions,Override incident - mark as false positive. NOT REVERSIBLE.
L2,founder_actions.py,POST,/ops/actions/throttle-tenant,throttle_tenant,,,,FounderActionResponseDTO,founder-actions,Throttle tenant - reduce rate limit to 10%.
L2,founder_actions.py,POST,/ops/actions/unfreeze-api-key,unfreeze_api_key,,,,FounderActionResponseDTO,founder-actions,Unfreeze API key - restore access.
L2,founder_actions.py,POST,/ops/actions/unfreeze-tenant,unfreeze_tenant,,,,FounderActionResponseDTO,founder-actions,Unfreeze tenant - restore access.
L2,founder_actions.py,POST,/ops/actions/unthrottle-tenant,unthrottle_tenant,,,,FounderActionResponseDTO,founder-actions,Unthrottle tenant - restore rate limit.
L2,cost_ops.py,GET,/ops/cost/anomalies,get_cost_anomalies,,limit,,FounderCostAnomalyListDTO,Ops Cost Intelligence,GET /ops/cost/anomalies
L2,cost_ops.py,GET,/ops/cost/customers/{tenant_id},get_customer_cost_drilldown,tenant_id,tenant_id,,FounderCustomerCostDrilldownDTO,Ops Cost Intelligence,GET /ops/cost/customers/{tenant_id}
L2,cost_ops.py,GET,/ops/cost/overview,get_cost_overview,,,,FounderCostOverviewDTO,Ops Cost Intelligence,GET /ops/cost/overview
L2,cost_ops.py,GET,/ops/cost/tenants,get_cost_tenants,,,,FounderCostTenantListDTO,Ops Cost Intelligence,GET /ops/cost/tenants
L2,ops.py,GET,/ops/customers,get_customer_segments,,limit,Optional[str],List[CustomerSegment],Ops Console,Customer Intelligence - All tenant profiles with stickiness and risk.
L2,ops.py,GET,/ops/customers/at-risk,get_customers_at_risk,,limit,,List[CustomerAtRisk],Ops Console,Customers At Risk - Phase-2 Founder Intelligence.
L2,ops.py,GET,/ops/customers/{tenant_id},get_customer_detail,tenant_id,tenant_id,,CustomerSegment,Ops Console,Get detailed customer profile for a specific tenant.
L2,ops.py,GET,/ops/events,get_event_stream,,"tenant_id, limit",Optional[str],OpsEventListResponse,Ops Console,Event Stream - Raw events for debugging and analysis.
L2,ops.py,GET,/ops/incidents,get_founder_incidents,,,Optional[str],FounderIncidentListDTO,Ops Console,GET /ops/incidents
L2,ops.py,GET,/ops/incidents/infra-summary,get_infra_incident_summary,,,,,Ops Console,GET /ops/incidents/infra-summary
L2,ops.py,GET,/ops/incidents/patterns,get_incident_patterns,,,,List[IncidentPattern],Ops Console,Incident Intelligence - What's breaking and is it systemic?
L2,ops.py,GET,/ops/incidents/{incident_id},get_founder_incident_detail,incident_id,,,FounderIncidentDetailDTO,Ops Console,GET /ops/incidents/{incident_id}
L2,ops.py,GET,/ops/infra,get_infra_limits,,,,InfraLimits,Ops Console,Infra & Limits - What breaks first if I grow?
L2,ops.py,GET,/ops/playbooks,get_founder_playbooks,,,,List[PlaybookDetail],Ops Console,Founder Playbooks - Signal → Action Matrix.
L2,ops.py,GET,/ops/playbooks/{playbook_id},get_playbook_detail,playbook_id,,,PlaybookDetail,Ops Console,Get a specific founder playbook by ID.
L2,ops.py,GET,/ops/pulse,get_system_pulse,,,,SystemPulse,Ops Console,System Pulse - 'Is my business healthy right now?'
L2,ops.py,GET,/ops/revenue,get_revenue_risk,,,,RevenueRisk,Ops Console,Revenue & Risk - Am I making money safely?
L2,ops.py,GET,/ops/stickiness,get_stickiness_by_feature,,,,List[StickinessByFeature],Ops Console,Product Stickiness - Which feature actually keeps users?
L2 (Product APIs),platform.py,GET,/platform/capabilities,get_capabilities_eligibility,,,,None,platform,Get capability eligibility list (lightweight version).
L2 (Product APIs),platform.py,GET,/platform/capabilities/{capability_name},get_capability_health,capability_name,,,None,platform,Get health for a specific capability (lightweight version).
L2 (Product APIs),platform.py,GET,/platform/domains/{domain_name},get_domain_health,domain_name,,,None,platform,Get health for a specific domain (lightweight version).
L2 (Product APIs),platform.py,GET,/platform/eligibility/{capability_name},check_capability_eligibility,capability_name,,,,platform,Quick eligibility check for a capability (lightweight version).
L2 (Product APIs),platform.py,GET,/platform/health,get_platform_health,,,,None,platform,Get platform system health (lightweight version).
L2,policy_layer.py,GET,/policy-layer/conflicts,list_conflicts,,,,,policy-layer,List policy conflicts.
L2,policy_layer.py,POST,/policy-layer/conflicts/{conflict_id}/resolve,resolve_conflict,conflict_id,,,,policy-layer,Resolve a policy conflict.
L2,policy_layer.py,GET,/policy-layer/cooldowns,list_active_cooldowns,,,Optional[str],List[CooldownInfo],policy-layer,List all active cooldowns.
L2,policy_layer.py,DELETE,/policy-layer/cooldowns/{agent_id},clear_cooldowns,agent_id,,Optional[str],,policy-layer,Clear cooldowns for an agent.
L2,policy_layer.py,GET,/policy-layer/dependencies,get_dependency_graph,,,,,policy-layer,Get the policy dependency graph.
L2,policy_layer.py,POST,/policy-layer/dependencies/add,add_dependency_with_dag_check,,,,,policy-layer,Add a policy dependency with DAG validation.
L2,policy_layer.py,GET,/policy-layer/dependencies/dag/validate,validate_dependency_dag,,,,,policy-layer,Validate that policy dependencies form a valid DAG.
L2,policy_layer.py,GET,/policy-layer/dependencies/evaluation-order,get_evaluation_order,,,,,policy-layer,Get the topological evaluation order for policies.
L2,policy_layer.py,GET,/policy-layer/ethical-constraints,list_ethical_constraints,,,,,policy-layer,List all ethical constraints.
L2,policy_layer.py,POST,/policy-layer/evaluate,evaluate_action,,,,PolicyEvaluationResult,policy-layer,Evaluate a proposed action against all applicable policies.
L2,policy_layer.py,POST,/policy-layer/evaluate/batch,evaluate_batch,,,,,policy-layer,Evaluate multiple actions in a single call.
L2,policy_layer.py,POST,/policy-layer/evaluate/context-aware,evaluate_with_context,,,,,policy-layer,Context-aware policy evaluation (GAP 4).
L2,policy_layer.py,GET,/policy-layer/metrics,get_policy_metrics,,,,PolicyMetrics,policy-layer,Get policy engine metrics for the specified time window.
L2,policy_layer.py,POST,/policy-layer/reload,reload_policies,,,,,policy-layer,Hot-reload policies from database.
L2,policy_layer.py,GET,/policy-layer/risk-ceilings,list_risk_ceilings,,tenant_id,,,policy-layer,List all risk ceilings with current values.
L2,policy_layer.py,GET,/policy-layer/risk-ceilings/{ceiling_id},get_risk_ceiling,ceiling_id,,,,policy-layer,Get a specific risk ceiling with current utilization.
L2,policy_layer.py,PATCH,/policy-layer/risk-ceilings/{ceiling_id},update_risk_ceiling,ceiling_id,,RiskCeilingUpdate,,policy-layer,Update a risk ceiling configuration.
L2,policy_layer.py,POST,/policy-layer/risk-ceilings/{ceiling_id}/reset,reset_risk_ceiling,ceiling_id,,,,policy-layer,Reset a risk ceiling's current value to 0.
L2,policy_layer.py,GET,/policy-layer/safety-rules,list_safety_rules,,tenant_id,,,policy-layer,List all safety rules.
L2,policy_layer.py,PATCH,/policy-layer/safety-rules/{rule_id},update_safety_rule,rule_id,,SafetyRuleUpdate,,policy-layer,Update a safety rule configuration.
L2,policy_layer.py,POST,/policy-layer/simulate,simulate_evaluation,,,,PolicyEvaluationResult,policy-layer,Simulate policy evaluation without side effects.
L2,policy_layer.py,GET,/policy-layer/state,get_policy_state,,,,PolicyState,policy-layer,Get the current state of the policy layer.
L2,policy_layer.py,POST,/policy-layer/temporal-metrics/prune,prune_temporal_metrics,,,,,policy-layer,Prune and compact temporal metric events.
L2,policy_layer.py,GET,/policy-layer/temporal-metrics/storage-stats,get_temporal_storage_stats,,,,,policy-layer,Get storage statistics for temporal metrics.
L2,policy_layer.py,GET,/policy-layer/temporal-policies,list_temporal_policies,,,Optional[str],,policy-layer,List temporal (sliding window) policies.
L2,policy_layer.py,POST,/policy-layer/temporal-policies,create_temporal_policy,,,,,policy-layer,Create a new temporal policy.
L2,policy_layer.py,GET,/policy-layer/temporal-policies/{policy_id}/utilization,get_temporal_utilization,policy_id,,Optional[str],,policy-layer,Get current utilization for a temporal policy.
L2,policy_layer.py,GET,/policy-layer/versions,list_policy_versions,,limit,,,policy-layer,List all policy versions.
L2,policy_layer.py,POST,/policy-layer/versions,create_policy_version,,,,,policy-layer,Create a new policy version snapshot.
L2,policy_layer.py,POST,/policy-layer/versions/activate,activate_policy_version,,,,,policy-layer,Activate a policy version with pre-activation integrity checks.
L2,policy_layer.py,GET,/policy-layer/versions/current,get_current_version,,,,,policy-layer,Get the currently active policy version.
L2,policy_layer.py,POST,/policy-layer/versions/rollback,rollback_to_version,,,,,policy-layer,Rollback to a previous policy version.
L2,policy_layer.py,POST,/policy-layer/versions/{version_id}/check,check_version_integrity,version_id,,,,policy-layer,Run integrity checks on a version without activating.
L2,policy_layer.py,GET,/policy-layer/versions/{version_id}/provenance,get_version_provenance,version_id,,,,policy-layer,Get the provenance (change history) for a policy version.
L2,policy_layer.py,GET,/policy-layer/violations,list_violations,,"tenant_id, limit",Optional[float],List[PolicyViolation],policy-layer,List policy violations with filtering.
L2,policy_layer.py,GET,/policy-layer/violations/{violation_id},get_violation,violation_id,,,PolicyViolation,policy-layer,Get a specific violation by ID.
L2,policy_layer.py,POST,/policy-layer/violations/{violation_id}/acknowledge,acknowledge_violation,violation_id,,Optional[str],,policy-layer,Acknowledge a violation (mark as reviewed).
L2 (Product APIs),replay.py,GET,/replay/{incident_id}/explain/{item_id},explain_replay_item,"incident_id, item_id",,,,replay,Get detailed explanation for a single replay item.
L2 (Product APIs),replay.py,GET,/replay/{incident_id}/slice,get_replay_slice,incident_id,,Optional[str],ReplaySliceResponse,replay,Get time-windowed replay slice of an incident.
L2 (Product APIs),replay.py,GET,/replay/{incident_id}/summary,get_incident_summary,incident_id,,,IncidentSummaryResponse,replay,Get incident summary for replay context.
L2 (Product APIs),replay.py,GET,/replay/{incident_id}/timeline,get_replay_timeline,incident_id,limit,,,replay,Get full timeline for an incident (unpaginated for scrubbing UI).
L2 (Product APIs),scenarios.py,GET,/scenarios/info/immutability,get_immutability_info,,,,,scenarios,Get information about the immutability guarantees.
L2 (Product APIs),scenarios.py,POST,/scenarios/simulate-adhoc,simulate_adhoc,,,,SimulationResult,scenarios,Run ad-hoc simulation without saving scenario.
L2 (Product APIs),scenarios.py,DELETE,/scenarios/{scenario_id},delete_scenario,scenario_id,,,,scenarios,Delete a scenario.
L2 (Product APIs),scenarios.py,GET,/scenarios/{scenario_id},get_scenario,scenario_id,,,ScenarioResponse,scenarios,Get a specific scenario by ID.
L2 (Product APIs),scenarios.py,POST,/scenarios/{scenario_id}/simulate,simulate_scenario,scenario_id,,Optional[int],SimulationResult,scenarios,Run simulation for a saved scenario.
L2 (Product APIs),sdk.py,POST,/sdk/handshake,sdk_handshake,,,,HandshakeResponse,SDK,SDK handshake endpoint.
L2 (Product APIs),sdk.py,GET,/sdk/instructions,get_sdk_instructions,,,,InstructionsResponse,SDK,Get SDK setup instructions.
L2,legacy_routes.py,GET,/simulation,legacy_simulation,,,,,Legacy (Deprecated),410 Gone - Simulation endpoints removed.
L2,legacy_routes.py,POST,/simulation,legacy_simulation,,,,,Legacy (Deprecated),410 Gone - Simulation endpoints removed.
L2,legacy_routes.py,GET,/simulation/{path:path},legacy_simulation,path:path,,,,Legacy (Deprecated),410 Gone - Simulation endpoints removed.
L2,legacy_routes.py,POST,/simulation/{path:path},legacy_simulation,path:path,,,,Legacy (Deprecated),410 Gone - Simulation endpoints removed.
L2 (Product APIs),main.py,GET,/skills,get_skills,,,,,,List all registered skills.
L2,status_history.py,GET,/status_history/download/{export_id},download_export,export_id,,,,status_history,Download an exported file using signed URL.
L2,status_history.py,GET,/status_history/entity/{entity_type}/{entity_id},get_entity_history,"entity_type, entity_id",limit,,StatusHistoryListResponse,status_history,Get complete status history for a specific entity.
L2,status_history.py,POST,/status_history/export,create_export,,,,ExportResponse,status_history,Create an export of status history records.
L2,status_history.py,GET,/status_history/stats,get_stats,,tenant_id,,StatsResponse,status_history,Get statistics about status history records.
L2 (Product APIs),traces.py,GET,/traces/by-hash/{root_hash},get_trace_by_hash,root_hash,,User,TraceDetailResponse,traces,Get a trace by its deterministic root hash.
L2 (Product APIs),traces.py,POST,/traces/cleanup,cleanup_old_traces,,,User,,traces,Delete traces older than specified number of days.
L2 (Product APIs),traces.py,GET,/traces/compare/{run_id1}/{run_id2},compare_traces,"run_id1, run_id2",,User,TraceCompareResponse,traces,Compare two traces for deterministic equality.
L2 (Product APIs),traces.py,GET,/traces/idempotency/{idempotency_key},check_idempotency,idempotency_key,,User,,traces,Check if an idempotency key has been executed.
L2 (Product APIs),traces.py,GET,/traces/mismatches,list_all_mismatches,,limit,Optional[str],,traces,List all trace mismatches across the system.
L2 (Product APIs),traces.py,POST,/traces/mismatches/bulk-report,bulk_report_mismatches,,,User,,traces,Create a single GitHub issue for multiple mismatches.
L2 (Product APIs),traces.py,DELETE,/traces/{run_id},delete_trace,run_id,,User,,traces,Delete a trace by run ID.
L2 (Product APIs),traces.py,GET,/traces/{run_id},get_trace,run_id,,User,TraceDetailResponse,traces,Get a complete trace by run ID.
L2 (Product APIs),traces.py,POST,/traces/{trace_id}/mismatch,report_mismatch,trace_id,,User,MismatchResponse,traces,Report a replay mismatch for operator review.
L2 (Product APIs),traces.py,GET,/traces/{trace_id}/mismatches,list_trace_mismatches,trace_id,,User,,traces,List all mismatches reported for a trace.
L2 (Product APIs),traces.py,POST,/traces/{trace_id}/mismatches/{mismatch_id}/resolve,resolve_mismatch,"trace_id, mismatch_id",,User,,traces,Mark a mismatch as resolved.
L2 (Product APIs),v1_killswitch.py,GET,/v1/calls/{call_id},get_call,call_id,,,ProxyCallDetail,KillSwitch,Get single call truth.
L2 (Product APIs),v1_proxy.py,POST,/v1/chat/completions,chat_completions,,,,ChatCompletionResponse,OpenAI Proxy,OpenAI-compatible chat completions endpoint.
